code,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports,discipline,event
1542446,FABCIC Dejan,FABCIC D,Dejan FABCIC,Male,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Para Archery'],"[""Men's Individual Recurve Open"", 'Mixed Team Recurve Open']",1977-09-16,,,,,,"Kayaking. (viva.bhc.si, 08 Jun 2023)","Athlete, Doctor","Medicine - University of Ljubljana, Slovenia","Wife Vida Valic, two daughters","English, Italian, Slovene","Brina Bozic [personal], SLO","He had competed in swimming and canoe sprint at the Paralympic Games, as well as in Para rowing at international level, before he took up Para archery. ""I started just for fun, to relax after my job because I'm a full-time medical doctor. After Rio [the 2016 Paralympic Games], I started shooting with a bow because my little daughter went to a local archery club. She started training and I tried with her. I liked it very much and also my results were not so bad. So I said, 'Maybe I could try it in a competition?' Then I met Brina [Bozic, coach], she trained me a lot and I improved."" (worldarchery.sport, 29 Aug 2021; siol.net, 06 Jun 2021)",,"His family. (siol.net, 06 Jun 2021)","""I like to compete. If I do some sports, I do it intensively. I like to go to big competitions and the Paralympics are great for me. That's my motivation to practise."" (worldarchery.sport, 29 Aug 2021)",,,"He represented Slovenia in swimming at the 2008 Paralympic Games in Beijing and in canoe sprint at the 2016 Paralympic Games in Rio de Janeiro. He also represented Slovenia in sitting volleyball at the European championships in 2021 and 2023, and competed in Para rowing at the 2011 World Championships in Bled, Slovenia. (SportsDeskOnline, 25 Nov 2023; worldarchery.sport, 29 Aug 2021)",,
1542509,FERNANDES SEMEDO Marilson,FERNANDES SEMEDO M,Marilson FERNANDES SEMEDO,Male,Athlete,CPV,Cabo Verde,Cabo Verde,Cabo Verde,Cabo Verde,CPV,0.0,0.0,['Para Athletics'],"[""Men's Javelin Throw - F57""]",1989-03-09,,Cabo Verde,,Cabo Verde,,"Reading, researching. (Athlete, 23 Aug 2021)","Athlete, Technician","Computer Engineering - Jean Piaget University of Cape Verde, Praia, CPV",,"Creole, English, French, Portuguese, Spanish",Paulo Tavares; Mariela Pita,"He had always liked sports and found that he was good at athletics. (Athlete, 23 Aug 2021)","Cape Verdean Para athlete Marcio Fernandes, Portuguese footballer Cristiano Ronaldo, British Formula One driver Lewis Hamilton, US basketball player Michael Jordan. (Athlete, 23 Aug 2021)","His family. (Athlete, 23 Aug 2021)",,,,,,
1542534,ABDULKHABIBOV Azizbek,ABDULKHABIBOV A,Azizbek ABDULKHABIBOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0.0,0.0,['Para Canoe'],"[""Men's Kayak Single 200m - KL2""]",1993-12-16,,Uzbekistan,,,"Aziz (rowingcanoe.uz, 29 Mar 2022)",,Athlete,,,Uzbek,"Eldar Yakshibaev [national], UZB",,,,,,,,,
1542576,KULDASHEV Khasan,KULDASHEV K,Khasan KULDASHEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0.0,0.0,['Para Canoe'],"[""Men's Kayak Single 200m - KL3""]",1996-07-16,,,,,,,,,,,"Eldar Yakshibaev [national], UZB",,,,,,,,,
1543234,ZUNIGA Mariana,ZUNIGA M,Mariana ZUNIGA,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Archery'],"[""Women's Individual Compound Open""]",2002-07-12,SANTIAGO,Chile,,Chile,"Mari (Athlete, 20 Aug 2021)","Drawing. (Athlete, 20 Aug 2021)","Athlete, Student","Psychology - Catholic University of Chile, Santiago, CHI",,"English, Spanish","Jorge Sepulveda [national], CHI","She was inspired to take up the sport after watching the animated film 'Brave'. She was later spotted by the national coach and the president of the Chilean federation, who invited her to get involved in Para sport. (Comite Paralimpico de Chile Facebook page, 28 Jan 2021)","Her mother. (Athlete, 20 Aug 2021)","Her mother. (Athlete, 20 Aug 2021)","""Enjoy what you do and the results will come."" (Athlete, 20 Aug 2021)",,,"She has represented Chile in non-Para archery, including at the 2023 Pan American Games in Santiago, Chile. (SportsDeskOnline, 25 Mar 2024)",,
1543252,MARDONES Francisca,MARDONES F,Francisca MARDONES,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Athletics'],"[""Women's Shot Put - F54""]",1977-09-24,SANTIAGO,Chile,,Chile,"Pantera [Spanish for 'panther']. (Facebook page, 23 Apr 2020)",,"Athlete, Student","Hospitality Management - Technological University of Chile INACAP, Santiago, CHI","Wife Fernanda, daughter Sara [2023]","English, Spanish","Exal Garcia [national], MEX","She has always enjoyed sport, playing basketball and volleyball before she sustained her impairment after falling into a ravine when Hurricane Lenny hit Culebra Island in Puerto Rico in 2000. She was encouraged to take up wheelchair tennis during her rehabilitation, and switched to Para athletics after a domestic accident prevented her from playing tennis any longer. (emol.com, 17 Nov 2019; biobiochile.cl, 26 Jun 2017)",,,"""I always put all my passion and energy into each throw I make. All that effort is priceless when you realise that you have managed to achieve your personal best and have been able to break down your own barriers once again."" (Instagram profile, 28 Apr 2019)",,,"She represented Chile in wheelchair tennis at the Paralympic Games in 2012 and 2016. (SportsDeskOnline, 16 Apr 2021; paralympic.org, 25 May 2018)",,
1543254,CARINAO Jorge,CARINAO J,Jorge CARINAO,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Powerlifting'],"[""Men's up to 65kg""]",1991-02-18,PADRE LAS CASAS,Chile,SANTIAGO,Chile,,"Reading, watching television series, going out with friends. (Athlete, 12 Jul 2019)",Athlete,,Partner Camila,"English, Spanish","Jaen Andre Echeverria [national], CHI","Having competed in weightlifting before his accident, he was determined to get involved in a sport again once he had recovered. He looked into wheelchair tennis before a coach recommended he try Para powerlifting. (CDF YouTube channel, 23 May 2019)",,"His family. (Athlete, 12 Jul 2019)","""It is okay to feel sad, have anger and all the emotions, but it is also important to say enough is enough and put an end to it."" (lachispadeldeporte.cl, 28 May 2023)",,,"Before his accident he competed in weightlifting, including at the 2008 Junior World Championships in Cali, Colombia. (lacuarta.com, 01 Dec 2011; SportsDeskOnline, 18 Aug 2021)",,
1543259,GARRIDO ACEVEDO Juan Carlos,GARRIDO ACEVEDO JC,Juan Carlos GARRIDO ACEVEDO,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Powerlifting'],"[""Men's up to 59kg""]",1980-03-04,TALCA,Chile,SANTIAGO,Chile,,"Making furniture. (latercera.com, 22 Oct 2023)",Athlete,Physical Education,Daughter Ivanna,Spanish,"Victor Rubilar [national, personal], CHI, from 1998","He played wheelchair basketball until a friend suggested he should try powerlifting and, within three months, he was competing at the 1998 World Championships in Dubai, United Arab Emirates. ""I chose it because it is an individual sport."" (Athlete, 11 Jul 2019; eldefinido.cl, 16 Jan 2014)","Egyptian Para powerlifter Sherif Osman. (Athlete, 11 Jul 2019)","His father, and his daughter. (latercera.com, 22 Oct 2023)","""It doesn't matter what impairment you may have, there is a sport for every person. The person who wants to do sports, regardless of the impairment they have, will be able to do it, because they can adjust."" (latercera.com, 22 Oct 2023)",,,,,
1543480,SERRANO GUAJARDO Marion Alejandra,SERRANO GUAJARDO M,Marion Alejandra SERRANO GUAJARDO,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Powerlifting'],"[""Women's up to 86kg""]",1999-09-08,SANTIAGO,Chile,,,,,Athlete,,,Spanish,"Victor Rubilar [national], CHI; Jaen Andre Echeverria [personal], CHI","She chose Para powerlifting because it is an individual sport. She first tried the sport for rehabilitation after encouragement from coaches. ""I found my independence, and proved to myself that I could be an independent person and do what I want."" (Athlete, 11 Jul 2019; sporthd.news, 21 Sep 2020)","Egyptian Para powerlifter Sherif Osman. (Athlete, 11 Jul 2019)","Her family. (Athlete, 11 Jul 2019)","""Nobody is you and that is the best power you have."" (Instagram profile, 19 Apr 2021)",,,,,
1543614,SHERKUZIEV Khaytmurot,SHERKUZIEV K,Khaytmurot SHERKUZIEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0.0,0.0,['Para Canoe'],"[""Men's Va'a Single 200m - VL3""]",1997-04-18,,,,,,,Athlete,,,"English, Russian, Uzbek","Eldar Yakshibaev [national], UZB",,,,"""It doesn't matter how slowly you progress. The main thing is that you don't stop."" (Instagram profile, 08 Apr 2023)",,,,,
1543657,LAVRINC Ziva,LAVRINC Z,Ziva LAVRINC,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Para Archery'],"[""Women's Individual Recurve Open"", 'Mixed Team Recurve Open']",1989-05-31,,,,,,,Athlete,"Sports Science - University of Ljubljana, Slovenia","Partner Manfred Risse, son Noah","English, German, Italian, Russian, Slovene, Spanish",Brina Bozic [national],"She was introduced to archery by her partner Manfred Risse. She was first introduced to Para sports by Swiss Para badminton player Karin Suter-Erath. ""She got me into sports back at Nottwil [in Switzerland], during my rehab."" (worldarchery.sport, 25 Jul 2023; AISTS YouTube channel, 06 Sep 2021)",,,"""Knowing that you can do it is the basis of success."" (zsis.si, 09 Mar 2024)",,,"She has represented Slovenia in Para bobsleigh. She has also competed in non-Para archery at Indoor World Series events. (ibsf.org, 08 Mar 2021; SportsDeskOnline, 20 Mar 2024)",,
1543699,CAMPOS Camila,CAMPOS C,Camila CAMPOS,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Powerlifting'],"[""Women's up to 50kg""]",1995-02-23,,Chile,SANTIAGO,Chile,"Rueditas (pagina7.cl, 20 Nov 2023)","Listening to music. (radiojgm.uchile.cl, 12 Oct 2023)","Athlete, Fitness Instructor","Physical Education - Saint Thomas University, Santiago, CHI",,Spanish,"Victor Rubilar [national], CHI","She began powerlifting as part of her rehabilitation and enjoyed the individual nature of the sport. ""In sport I found the happiness I was looking for. Weightlifting is what fills me with happiness the most."" (Athlete, 11 Jul 2019; Teleton Chile YouTube channel, 22 Jul 2015)",,"Coach Victor Rubilar, and her mother. (Athlete, 11 Jul 2019; dxtadaptado.com, 28 Apr 2015)","""Surrender is not an option."" (Facebook profile, 15 Feb 2024)",,"She follows the same routine ahead of a competition, which includes taking a bath the night before, laying out her competition clothes, and repeating the phrase 'This is the day to break it' before she leaves the house. (radiojgm.uchile.cl, 12 Oct 2023)","She competed in wheelchair tennis at International Tennis Federation [ITF] competitions from 2009 to 2013. (itftennis.com, 30 Nov 2013)",,
1543702,BOLOGA Florin-Alexandru,BOLOGA FA,Florin-Alexandru BOLOGA,Male,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,0.0,0.0,['Para Judo'],"[""Men's -73 kg J1""]",1995-11-07,ZALAU,Romania,,,"Alex (Athlete, 01 Apr 2016)","Travel, hiking, going to concerts, skating. (eju.net, 23 Jan 2024)",Athlete,"Pedagogy, Physiotherapy, Psychology - Babes-Bolyai University, Cluj-Napoca, ROU",,"Italian, Romanian","Tamas Gergely [personal], from 2012","He participated in a judo selection event organised by the Romanian Paralympic Committee. ""I was a high school student at the Special School for the Visually Impaired in Cluj-Napoca when I was spotted by Csokasi Eniko and Gianina Andreica, the two coaches sent to make the selection. At that time, three students were selected, but the rest dropped out along the way. Until then, I didn't know what judo meant, but when I stepped on the tatami for the first time, I felt something special, I felt I had found my place. My happy place."" (eju.net, 23 Jan 2024)","Brazilian Para judoka Antonio Tenorio da Silva. (Athlete, 01 Apr 2016)","Coach Gianina Andreica. (Athlete, 01 Apr 2016)","""My life begins in the dojo."" (Athlete, 01 Apr 2016)",,,,,
1543708,ABARZA DIAZ Alberto Caroly,ABARZA DIAZ AC,Alberto Caroly ABARZA DIAZ,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Swimming'],"[""Men's 100m Backstroke - S2"", ""Men's 200m Freestyle - S2"", ""Men's 50m Backstroke - S2""]",1984-12-11,SANTIAGO,Chile,,,"Carolito, Beto (emol.com, 30 Dec 2017; Facebook profile, 21 Dec 2016)",,"Athlete, Bank Employee",,Daughters Becciee Saray and Amaia,Spanish,"Cristian Espindola, CHI, from 2018","He began swimming therapy to help his impairment. ""Water is the only space where I feel I do not have an impairment because I do not depend on anybody. It's just the water and me."" (Athlete, 10 Sep 2019; Teleton Chile YouTube channel, 01 Dec 2018; emol.com, 30 Dec 2017; economiaynegocios.cl, 16 Dec 2017)","Chilean tennis player Nicolas Massu. (alairelibre.cl, 06 Aug 2023)","Coach Sebastian Cardenas. (Athlete, 10 Sep 2019)","""Dreams can become real. With work any goal is attainable, even the impossible. It's just a matter of will. Nothing is impossible."" (latercera.com, 20 Nov 2023)",,,,,
1543712,ALMONACID HEYL Vicente Enrique,ALMONACID HEYL VE,Vicente Enrique ALMONACID HEYL,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Swimming'],"[""Men's 100m Breaststroke - SB8""]",2000-10-28,,Chile,SANTIAGO,Chile,,,Athlete,,,Spanish,Nicolas Mafio [personal],"He tried a number of sports growing up to help with his rehabilitation. ""I have always liked sports very much, and growing up it helped me a lot in my rehabilitation. I did handball, soccer, volleyball, running and skateboarding until I tried swimming. I liked it [swimming] because it is a very different sport from the rest. In 2015 I went to train with the national team and never left."" (paralimpico.cl, 01 Jun 2020; matiasvsarria.wixsite.com, 26 Dec 2018)","British swimmer Adam Peaty. (Athlete, 10 Sep 2019)","Coach Nicolas Mafio. (Athlete, 10 Sep 2019)","""Dreams are made to be real."" (Teleton Chile Facebook page, 13 Dec 2017)",,,,,
1544233,PEREZ Florencia,PEREZ F,Florencia PEREZ,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Table Tennis'],"[""Women's Singles - WS8"", 'Mixed Doubles - XD17']",2009-08-14,,,,Chile,,,,,,Spanish,Francisco Carrasco [national],"She took up the sport as part of her rehabilitation. (guioteca.com, 28 Nov 2023 )",,,,,,,,
1544236,LEONELLI Tamara,LEONELLI T,Tamara LEONELLI,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,0.0,0.0,['Para Table Tennis'],"[""Women's Singles - WS5"", 'Mixed Doubles - XD7']",1997-06-05,TEMUCO,Chile,SANTIAGO,Chile,,"Reading, watching TV series. (cela.cl, 01 Sep 2020)",Athlete,"Education, Psychology - Santo Tomas University, Santiago, CHI",,Spanish,Francisco Carrasco [national],"She tried athletics, tennis, basketball, and swimming, but liked Para table tennis the most. ""It was love at first sight. I liked that you can train all by yourself because I did not like team sports. I love this sport. It makes me overcome myself every day and in the end that's what I like the most."" (adnradio.cl, 10 May 2021; olympics.com, 28 Aug 2020)","Spanish tennis player Rafael Nadal. (biobiochile.cl, 09 Nov 2020)","Her mother. (adnradio.cl, 10 May 2021)","""The most important thing is to have the desire of doing something and to dare to do it. If it goes wrong, then it goes wrong. But if it goes well then you win it all."" (olympics.com, 28 Aug 2020)","Her mother Paola played volleyball at national level in Chile. (adnradio.cl, 10 May 2021)",,,,
1544426,KOCMUR Barbara,KOCMUR B,KOCMUR,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],2002-10-17,LJUBLJANA,Slovenia,VISNJA GORA,Slovenia,"Barbi (ParaVolley Slovenia Facebook page, 17 Oct 2023)",,Student,"University of Ljubljana, Slovenia",,,Simon Bozic [national],,,,,,,,,
1544429,GOSNAK Danica,GOSNAK D,GOSNAK,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],1962-02-14,,,SLOVENJ GRADEC,Slovenia,,,,,,,Simon Bozic [national],"She liked the sport. (Athlete, 26 Aug 2012)",,,,,,,,
1544431,FERJAN Jana,FERJAN J,FERJAN,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],1979-02-28,LJUBLJANA,Slovenia,LJUBLJANA,Slovenia,,"Hiking, visiting underground caves, reading. (Athlete, 27 Aug 2024)",,,,"Croatian, English, Italian, Russian",Simon Bozic [national]; Branko Mihorko [national],"""I had a new neighbour and she had a co-worker that played [sitting volleyball]. I went to see and I liked it."" (ParaVolley Europe Facebook page, 25 Jun 2022; Athlete, 27 Aug 2024)","Slovenian sitting volleyball player Lena Gabrscek. (siol.net, 29 Jun 2015)",,"""Have fun, it makes you better at it."" (Athlete, 27 Aug 2024)",,,,,
1544432,VRABIC Klara,VRABIC K,VRABIC,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],2002-05-22,,,LJUBLJANA,Slovenia,,,Student,"Education - University of Ljubljana, Slovenia",,"English, Slovene","Simon Bozic [club, national]","She had previously played standing volleyball, and was invited to try sitting volleyball by a coach. (ParaVolley Europe Facebook page, 28 Nov 2022)",,,"""I always want something to become better each day."" (worldparavolley.org, 04 Apr 2024)",,,"She played standing volleyball at club level in Slovenia before she acquired her impairment. (ParaVolley Europe Facebook page, 28 Nov 2022; ParaVolley Slovenia Facebook page, 11 Jul 2019)",,
1544467,GABRSCEK Lena,GABRSCEK L,GABRSCEK,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],1994-06-12,CELJE,Slovenia,CELJE,Slovenia,,,"Athlete, Motivational Speaker","Psychology - University of Ljubljana, Slovenia",,"English, German, Slovene","Simon Bozic [club, national]","Previously a standing volleyball player, she enjoyed sitting volleyball after being invited to try it. ""I've always been a fan of all kinds of sports, but I always found team sports more interesting than individual sports, because that's just the type of person I am. Most likely, the biggest thing that helped my love for volleyball was that my older sister started playing it, and then it was imperative that I play it too."" (paravolley.eu, 06 Mar 2024; rtvslo.si, 23 Jan 2024; siol.net, 04 Nov 2017; Athlete, 26 Aug 2012)",,,,,,"She has competed in Para alpine skiing at national level in Slovenia. (zveza-gns.si, 07 Feb 2017)",,
1544470,OCEPEK Suzana,OCEPEK S,OCEPEK,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],1985-11-24,,Slovenia,TABOR,Slovenia,,,,,,Slovene,"Simon Bozic [club, national]",,,,,,,,,
1544472,VRHOVNIK Tija,VRHOVNIK T,VRHOVNIK,Female,Athlete,SLO,Slovenia,Slovenia,Slovenia,Slovenia,SLO,0.0,0.0,['Sitting Volleyball'],['Women'],1999-11-10,,,VODICE,Slovenia,,,"Coach, Student",Psychology,,English,"Simon Bozic [club, national]","""One of the guys from the men's [sitting volleyball] team knew me, and he invited me to the training."" (ParaVolley Europe Facebook page, 28 Apr 2022)",,,,,,"She has played football at club level in Slovenia. (znk-radomlje.si, 29 Feb 2024)",,
